Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,20.3,33.8,33.8,40.5,40.5,27.0,13.5,33.8,418.6,499.7,276.8,472.7,189.1,222.8,276.8,182.3,182.3,114.8,216.1,384.9,270.1,168.8,445.7,465.9
Amiens,20.9,10.5,20.9,41.9,20.9,10.5,20.9,31.4,460.4,303.5,533.7,648.8,313.9,251.1,439.5,251.1,52.3,62.8,62.8,41.9,31.4,31.4,94.2,115.1
Angers,0.0,0.0,0.0,0.0,0.0,132.7,0.0,0.0,0.0,0.0,0.0,132.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.7,0.0,132.7,265.5,265.5
Angouleme,86.8,121.6,104.2,208.4,173.7,191.0,173.7,191.0,260.5,243.1,104.2,52.1,191.0,104.2,382.1,208.4,156.3,121.6,295.2,312.6,69.5,69.5,382.1,468.9
Arras,436.7,283.9,283.9,305.7,218.4,174.7,218.4,349.4,262.0,262.0,87.3,43.7,218.4,131.0,262.0,436.7,262.0,393.1,87.3,43.7,131.0,174.7,327.5,327.5
Bastia,0.0,0.0,0.0,11.1,0.0,11.1,0.0,0.0,543.3,687.5,221.8,155.2,388.1,476.8,565.5,388.1,133.1,144.1,77.6,88.7,88.7,88.7,122.0,133.1
Besancon,165.4,132.3,181.9,99.2,165.4,181.9,165.4,99.2,248.1,181.9,82.7,82.7,66.2,115.8,281.2,148.8,215.0,264.6,297.7,231.5,82.7,99.2,248.1,463.1
Bobigny,37.1,37.1,37.1,0.0,74.1,111.2,37.1,37.1,0.0,37.1,37.1,74.1,0.0,0.0,148.3,148.3,333.6,185.4,259.5,185.4,185.4,148.3,296.6,222.4
Bordeaux,64.1,114.0,57.0,35.6,42.7,57.0,42.7,35.6,99.7,64.1,263.6,477.2,92.6,163.8,235.1,263.6,178.1,142.5,149.6,121.1,35.6,42.7,192.3,178.1
Bourges,44.3,0.0,44.3,44.3,44.3,88.6,44.3,88.6,44.3,44.3,88.6,132.9,44.3,0.0,265.8,443.0,221.5,132.9,487.3,620.2,487.3,265.8,708.8,797.4
Carcassonne,66.6,133.2,159.8,93.2,106.6,93.2,66.6,53.3,93.2,53.3,119.9,159.8,106.6,119.9,199.8,159.8,213.1,173.2,266.4,279.7,213.1,159.8,692.7,559.5
Cergy_Pontoise,0.0,0.0,0.0,0.0,61.3,0.0,61.3,61.3,245.4,245.4,306.7,184.0,61.3,0.0,306.7,184.0,184.0,122.7,61.3,122.7,122.7,122.7,429.4,490.8
Chambery,11.6,5.8,11.6,11.6,5.8,5.8,11.6,5.8,243.8,185.7,145.1,133.5,69.7,46.4,290.2,516.6,11.6,11.6,5.8,0.0,5.8,5.8,29.0,40.6
Clermont_Ferrand,167.4,139.5,186.0,120.9,186.0,176.7,186.0,223.2,213.9,167.4,260.4,241.8,297.6,344.1,381.3,409.1,390.6,297.6,585.8,511.4,437.0,576.5,902.0,799.7
Creteil,222.2,151.5,252.5,303.0,252.5,343.4,504.9,454.4,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,151.5,111.1,232.3,151.5,303.0,151.5,504.9,504.9
Digne,60.0,30.0,60.0,60.0,150.0,90.0,150.0,150.0,60.0,60.0,209.9,269.9,120.0,269.9,180.0,239.9,120.0,90.0,359.9,329.9,180.0,180.0,419.9,419.9
Dijon,187.5,375.0,104.2,145.8,104.2,104.2,208.3,208.3,229.2,208.3,270.8,187.5,145.8,166.7,291.7,145.8,104.2,104.2,270.8,291.7,104.2,62.5,208.3,187.5
Evry,0.0,123.5,0.0,123.5,0.0,0.0,0.0,0.0,123.5,0.0,123.5,123.5,0.0,0.0,494.0,617.5,617.5,247.0,370.5,494.0,247.0,247.0,617.5,617.5
Foix,42.5,53.2,53.2,31.9,21.3,21.3,31.9,42.5,148.9,180.7,106.3,95.7,53.2,63.8,117.0,53.2,276.4,180.7,191.4,223.3,148.9,127.6,170.1,117.0
Grenoble,0.0,39.7,0.0,0.0,0.0,0.0,0.0,0.0,119.1,158.9,119.1,119.1,79.4,198.6,119.1,119.1,79.4,158.9,79.4,79.4,119.1,79.4,158.9,158.9
Lille,7.9,15.8,15.8,23.8,23.8,15.8,15.8,15.8,126.8,190.2,166.4,134.7,150.6,166.4,301.1,356.6,174.3,214.0,174.3,206.0,87.2,95.1,293.2,261.5
Limoges,174.1,364.0,158.3,316.5,237.4,443.1,237.4,221.6,269.1,253.2,284.9,553.9,79.1,63.3,332.4,411.5,158.3,142.4,63.3,63.3,63.3,47.5,253.2,443.1
Lyon,0.0,103.7,0.0,0.0,0.0,103.7,0.0,103.7,0.0,0.0,0.0,0.0,0.0,103.7,0.0,103.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marseille,119.8,79.8,149.7,79.8,149.7,99.8,299.4,319.4,209.6,319.4,289.5,259.5,229.6,179.7,329.4,419.2,299.4,269.5,439.2,399.2,339.4,399.2,828.4,1058.0
Melun,173.5,173.5,144.6,231.3,144.6,202.4,289.1,231.3,404.8,375.9,260.2,202.4,144.6,144.6,462.6,925.2,260.2,462.6,173.5,144.6,144.6,115.6,289.1,173.5
Metz,130.3,251.4,139.7,223.4,139.7,149.0,93.1,93.1,37.2,27.9,55.9,37.2,27.9,18.6,46.6,27.9,149.0,130.3,83.8,93.1,74.5,111.7,279.3,204.8
Nimes,206.6,165.3,206.6,227.3,206.6,206.6,206.6,227.3,62.0,62.0,165.3,165.3,144.6,124.0,165.3,186.0,20.7,20.7,41.3,41.3,41.3,20.7,124.0,144.6
Nancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,0.0,0.0,25.3,0.0,25.3,0.0,25.3,0.0,25.3,0.0,25.3,0.0,0.0
Nanterre,35.4,35.4,53.1,70.8,53.1,35.4,53.1,88.5,177.1,106.2,247.9,318.7,230.2,141.7,283.3,247.9,88.5,53.1,124.0,88.5,106.2,141.7,318.7,336.4
Nantes,9.4,0.0,0.0,9.4,9.4,18.7,18.7,18.7,149.6,84.2,233.8,289.9,159.0,205.7,318.0,336.7,346.0,383.4,420.8,458.3,439.6,514.4,523.7,439.6
Nice,0.0,93.7,0.0,0.0,0.0,0.0,0.0,93.7,187.4,93.7,187.4,281.1,0.0,93.7,281.1,187.4,93.7,0.0,281.1,187.4,187.4,281.1,374.8,281.1
Perigueux,46.7,46.7,46.7,23.4,46.7,70.1,70.1,46.7,140.1,140.1,140.1,140.1,163.5,93.4,280.3,350.3,256.9,280.3,350.3,420.4,140.1,140.1,256.9,256.9
Paris_Nord,18.1,18.1,18.1,18.1,36.2,18.1,54.3,36.2,289.7,253.5,235.4,362.1,199.2,162.9,506.9,289.7,162.9,108.6,253.5,325.9,54.3,72.4,235.4,144.8
Paris_Sud,81.6,106.0,122.4,81.6,122.4,155.0,138.7,130.5,358.9,399.7,252.9,252.9,277.4,358.9,513.9,481.3,106.0,212.1,73.4,73.4,73.4,122.4,236.6,301.8
Pau,235.9,188.7,235.9,188.7,235.9,235.9,471.8,330.2,47.2,0.0,0.0,47.2,0.0,0.0,94.4,94.4,235.9,235.9,141.5,94.4,94.4,141.5,283.1,188.7
Quimper,0.0,56.1,0.0,56.1,0.0,0.0,0.0,56.1,0.0,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.1,0.0,0.0
Rodez,80.4,80.4,80.4,64.3,80.4,80.4,80.4,80.4,96.4,80.4,112.5,128.6,32.1,48.2,112.5,112.5,144.6,128.6,64.3,48.2,64.3,96.4,160.7,96.4
Rouen,0.0,0.0,0.0,0.0,0.0,6.6,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,191.0,158.1,92.2,164.7,171.3,177.8,204.2,217.4
St_Brieuc,134.8,80.9,202.1,188.7,202.1,390.8,269.5,215.6,53.9,53.9,27.0,13.5,27.0,13.5,148.2,269.5,134.8,94.3,188.7,309.9,67.4,80.9,336.9,296.5
St_Etienne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,329.1,302.8,263.3,197.4,250.1,236.9,329.1,302.8,223.8,118.5,236.9,250.1,92.1,131.6,158.0,197.4
Strasbourg,373.6,280.2,373.6,467.0,373.6,373.6,373.6,280.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.3,435.8,342.4,467.0,871.6,529.2,933.9,591.5
Tarbes,286.6,376.1,268.6,286.6,268.6,268.6,358.2,304.5,89.5,71.6,197.0,232.8,89.5,71.6,161.2,161.2,107.5,107.5,89.5,125.4,17.9,17.9,143.3,143.3
Toulon,0.0,39.2,0.0,39.2,0.0,39.2,0.0,0.0,78.4,117.5,78.4,39.2,78.4,117.5,235.1,117.5,0.0,39.2,0.0,0.0,0.0,0.0,0.0,39.2
Tours,43.3,0.0,43.3,0.0,43.3,0.0,86.7,130.0,0.0,43.3,43.3,43.3,0.0,0.0,130.0,173.3,130.0,86.7,86.7,43.3,43.3,43.3,173.3,260.0
Troyes,118.2,118.2,147.8,59.1,147.8,88.7,147.8,118.2,29.6,29.6,29.6,59.1,59.1,59.1,88.7,177.3,118.2,88.7,384.2,472.8,177.3,236.4,295.5,325.1
Valence,171.7,229.0,229.0,286.2,229.0,125.9,257.6,143.1,749.9,555.3,669.8,601.1,120.2,85.9,572.4,641.1,383.5,526.6,366.4,417.9,372.1,681.2,561.0,561.0
Valenciennes,0.0,118.8,0.0,0.0,0.0,0.0,0.0,118.8,0.0,118.8,0.0,118.8,0.0,118.8,0.0,0.0,0.0,0.0,0.0,118.8,0.0,118.8,0.0,118.8
Versailles,86.5,49.4,86.5,98.8,86.5,61.8,98.8,135.9,654.6,568.2,617.6,395.2,901.7,605.2,1210.4,778.1,1025.2,765.8,1173.4,963.4,654.6,741.1,1062.2,926.4
